id,survey_id,host_id,room_type,neighbourhood_cleansed,neighbourhood,number_of_reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minimum_nights,last_modified,latitude,longitude,location
16565916,1458,109115950,Shared room,Galle,Habaraduwa,5,5,5,1,1,4700,1,42939.9603,6.018495,80.247665,0101000020E610000049D74CBED90F5440DE8E705AF0121840
3861725,1458,18858949,Shared room,Kandy,Harispattuwa,8,4.5,10,1,1,4500,1,42939.9603,7.296956,80.607659,0101000020E6100000AF0793E2E32654406667D13B15301D40
822249,1458,4317947,Shared room,Hambantota,Thissamaharama,12,4.5,10,1,1,4500,1,42939.9603,6.230155,81.343418,0101000020E6100000E5B67D8FFA555440240B98C0ADEB1840
538559,1458,2590051,Shared room,Gampaha,Ja-Ela,0,0,2,1,1,5500,3,42939.9603,7.046142,79.912074,0101000020E61000000B62A06B5FFA53405CE333D93F2F1C40
12924009,1458,68671867,Shared room,Badulla,Ella,0,0,4,1,1,4500,1,42939.9603,6.87053,81.042594,0101000020E61000005F402FDCB94254405DBF60376C7B1B40
7229935,1458,27713613,Shared room,Kandy,K.F.G. & G. Korale,0,0,4,1,1,6000,1,42939.9603,7.285146,80.649205,0101000020E610000094D920938C29544043572250FD231D40
13071925,1458,60330486,Shared room,Kandy,K.F.G. & G. Korale,2,0,4,1,1,4500,2,42939.9603,7.306316,80.626684,0101000020E61000004B3B35971B28544055F7C8E6AA391D40
6632245,1458,34715590,Shared room,Gampaha,Dompe,0,0,2,1,1,5000,1,42939.9603,6.971085,80.11485,0101000020E6100000857CD0B3590754406E8B321B64E21B40
18436015,1458,127789559,Shared room,Galle,Habaraduwa,0,0,8,1,1,4100,4,42939.9603,5.979408,80.347707,0101000020E6100000C765DCD44016544059C345EEE9EA1740
19662680,1458,138427755,Shared room,Kandy,K.F.G. & G. Korale,0,0,16,1,1,5000,1,42939.9603,7.292054,80.630261,0101000020E61000006FBC3B3256285440F8A92A34102B1D40
17017150,1458,23726581,Shared room,Galle,Habaraduwa,1,0,4,1,1,4000,1,42939.96028,6.009941,80.245252,0101000020E6100000D4D17135B20F5440E38E37F92D0A1840
13191981,1458,16767764,Shared room,Galle,Hikkaduwa,0,0,4,1,1,900,3,42939.96028,6.140764,80.101879,0101000020E61000008C497F2F850654400BD1217024901840
18946824,1458,67853355,Shared room,Colombo,Maharagama,0,0,1,1,1,1000,1,42939.96028,6.857849,79.928178,0101000020E610000078B7B24467FB53400EA0DFF76F6E1B40
7392793,1458,38148581,Shared room,Mullaitivu,Maritimepattu,0,0,2,1,1,1000,1,42939.96028,9.109048,80.671923,0101000020E6100000899B53C9002B54406F63B323D5372240
7724773,1458,36542918,Shared room,Colombo,Thimbirigasyaya,3,5,4,1,1,1400,2,42939.96022,6.87556,79.860649,0101000020E610000072158BDF14F7534038BEF6CC92801B40
12015731,1458,9826465,Shared room,Colombo,Dehiwala-Mount Lavinia,2,0,6,1,1,1000,1,42939.96022,6.839549,79.864005,0101000020E610000027A5A0DB4BF75340DA8EA9BBB25B1B40
10218014,1458,3069908,Shared room,Colombo,Dehiwala-Mount Lavinia,0,0,1,1,1,3000,1,42939.96022,6.858826,79.873254,0101000020E61000007AC6BE64E3F7534067D13B15706F1B40
19218764,1458,121514529,Shared room,Hambantota,Thissamaharama,0,0,2,1,1,1000,3,42939.96019,6.275158,81.29326,0101000020E6100000664E97C5C45254405BEECC04C3191940
17182110,1458,115492981,Shared room,Matara,Weligama,1,0,4,1,1,1000,3,42939.96019,5.940393,80.47026,0101000020E61000007C2766BD181E5440A08CF161F6C21740
610167,1458,3035357,Shared room,Gampaha,Ja-Ela,0,0,6,1,1,3000,3,42939.96019,7.047454,79.914965,0101000020E610000004FF5BC98EFA5340EE4108C897301C40
12388443,1458,57811397,Shared room,Colombo,Colombo,0,0,1,1,1,1000,3,42939.96019,6.959872,79.863414,0101000020E6100000263ACB2C42F753406B6281AFE8D61B40
19465761,1458,121158337,Shared room,Colombo,Thimbirigasyaya,0,0,6,1,1,1500,3,42939.96019,6.899895,79.868253,0101000020E6100000D9E9077591F75340EF552B137E991B40
18488241,1458,63292781,Shared room,Colombo,Thimbirigasyaya,0,0,4,1,1,3000,2,42939.96019,6.896064,79.858875,0101000020E61000008716D9CEF7F65340E57D1CCD91951B40
16589443,1458,109198605,Shared room,Matara,Weligama,1,0,8,1,1,1000,1,42939.96019,5.973341,80.4371,0101000020E610000039454772F91B54407A6CCB80B3E41740
12934614,1458,71035065,Shared room,Kandy,K.F.G. & G. Korale,1,0,16,1,1,1000,1,42939.96019,7.289856,80.648282,0101000020E61000007825C9737D2954409032E202D0281D40
17349070,1458,48638740,Shared room,Colombo,Colombo,0,0,2,1,1,3600,1,42939.96019,6.933156,79.84404,0101000020E6100000042159C004F65340C443183F8DBB1B40
9460748,1458,49022595,Shared room,Galle,Habaraduwa,0,0,1,1,1,1500,1,42939.96019,5.99507,80.29942,0101000020E61000002CF180B22913544042EC4CA1F3FA1740
15606468,1458,100609146,Shared room,Galle,Habaraduwa,0,0,6,1,1,1700,1,42939.96019,5.974501,80.360373,0101000020E61000002157EA59101754405CAD1397E3E51740
655438,1458,3235001,Shared room,Gampaha,Katana,1,0,2,1,1,3800,1,42939.96019,7.233248,79.869286,0101000020E6100000B937BF61A2F75340FC6D4F90D8EE1C40
9460501,1458,49022595,Shared room,Galle,Habaraduwa,0,0,1,1,1,1500,1,42939.96019,5.995305,80.298205,0101000020E61000003CA06CCA151354405E2EE23B31FB1740
16315988,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,1,42939.96019,5.937582,80.514963,0101000020E61000009AE95E27F5205440E945ED7E15C01740
18465584,1458,115249623,Shared room,Hambantota,Thissamaharama,0,0,14,1,1,2500,1,42939.96019,6.269864,81.264829,0101000020E6100000138255F5F25054409278793A57141940
16458997,1458,107965035,Shared room,Hambantota,Tangalle,3,4.5,2,1,1,3000,1,42939.96019,6.03737,80.807745,0101000020E61000007BA01518B2335440F5673F5244261840
383228,1458,1920346,Shared room,Colombo,Kolonnawa,0,0,4,1,1,2500,1,42939.96019,6.927244,79.94,0101000020E61000005C8FC2F528FC53401EA67D737FB51B40
8998567,1458,46989833,Shared room,Gampaha,Negombo,4,5,6,1,1,1200,2,42939.96019,7.192924,79.858008,0101000020E610000035ED629AE9F653403A747ADE8DC51C40
16155354,1458,56054186,Shared room,Kandy,K.F.G. & G. Korale,0,0,6,1,1,1000,1,42939.96017,7.285741,80.62081,0101000020E6100000E8C1DD59BB2754405E81E84999241D40
18342790,1458,39132047,Shared room,Gampaha,Ja-Ela,0,0,1,1,1,1000,1,42939.96017,7.075855,79.929256,0101000020E6100000276728EE78FB5340CBF3E0EEAC4D1C40
17087516,1458,114663248,Shared room,Gampaha,Negombo,1,0,10,1,1,1200,1,42939.96017,7.21614,79.840701,0101000020E6100000BA2D910BCEF55340056EDDCD53DD1C40
19064215,1458,133082225,Shared room,Galle,Bope-Poddala,0,0,6,1,1,2100,1,42939.96017,6.110265,80.220722,0101000020E61000007EE02A4F200E5440E292E34EE9701840
17834378,1458,121975742,Shared room,Colombo,Sri Jayawardanapura Kotte,1,0,6,1,1,2500,1,42939.96017,6.891978,79.892125,0101000020E61000006ABC749318F9534086014BAE62911B40
16316071,1458,97178461,Shared room,Matara,Matara Four Gravets,0,0,1,1,1,2000,1,42939.96017,5.937472,80.515698,0101000020E610000035272F3201215440B0A9F3A8F8BF1740
15523002,1458,23111098,Shared room,Nuwara Eliya,Nuwara Eliya,0,0,1,1,1,1000,3,42939.96017,6.950548,80.782065,0101000020E610000029965B5A0D325440E31C75745CCD1B40
17160572,1458,23726581,Shared room,Galle,Habaraduwa,0,0,1,1,1,1000,1,42939.96017,6.011408,80.243909,0101000020E6100000CE8C7E349C0F5440ADA6EB89AE0B1840
13303366,1458,69455918,Shared room,Galle,Habaraduwa,0,0,6,1,1,1700,1,42939.96017,5.972425,80.361408,0101000020E6100000D120054F211754404F401361C3E31740
10343544,1458,53235269,Shared room,Gampaha,Katana,1,0,16,1,1,1000,1,42939.96017,7.213465,79.868347,0101000020E61000001AA54BFF92F75340D15CA79196DA1C40
17598193,1458,62009734,Shared room,Matara,Weligama,0,0,2,1,1,1000,1,42939.96017,5.979558,80.436898,0101000020E6100000056C0723F61B544003249A4011EB1740
10443593,1458,53801592,Shared room,Kandy,K.F.G. & G. Korale,3,4.5,5,1,1,1400,1,42939.96017,7.284933,80.613535,0101000020E6100000E3FC4D28442754406534F279C5231D40
4176673,1458,19933987,Shared room,Gampaha,Negombo,3,5,2,1,1,3800,4,42939.96017,7.223094,79.845339,0101000020E610000022C2BF081AF653403CBCE7C072E41C40
17160858,1458,23726581,Shared room,Galle,Habaraduwa,1,0,1,1,1,1000,1,42939.96017,6.009162,80.24476,0101000020E61000009DD7D825AA0F5440BC7669C361091840
13700977,1458,79627171,Shared room,Kandy,K.F.G. & G. Korale,0,0,4,1,1,1000,1,42939.96017,7.284893,80.615645,0101000020E61000008A3C49BA66275440F46F97FDBA231D40
13587574,1458,61753657,Shared room,Colombo,Thimbirigasyaya,0,0,10,1,1,1500,1,42939.96017,6.904791,79.853759,0101000020E61000009AEAC9FCA3F653404DDC2A88819E1B40
14932786,1458,64616886,Shared room,Colombo,Dehiwala-Mount Lavinia,1,0,1,1,1,1000,1,42939.96015,6.832347,79.865107,0101000020E61000009A22C0E95DF75340E2B19FC552541B40
14895351,1458,37243978,Shared room,Colombo,Homagama,0,0,14,1,1,1000,1,42939.96015,6.835603,79.996887,0101000020E6100000AFB321FFCCFF534009C21550A8571B40
